selection_letter,arrangement,num_circuits,K2
B,embedded_or_touching_in_walls,1,1.00
B,embedded_or_touching_in_walls,2,0.80
B,embedded_or_touching_in_walls,3,0.70
B,embedded_or_touching_in_walls,4,0.65
B,embedded_or_touching_in_walls,5,0.60
B,embedded_or_touching_in_walls,6,0.57
B,embedded_or_touching_in_walls,7,0.54
B,embedded_or_touching_in_walls,8,0.52
B,embedded_or_touching_in_walls,9,0.50
B,embedded_or_touching_in_walls,12,0.45
B,embedded_or_touching_in_walls,16,0.41
B,embedded_or_touching_in_walls,20,0.38
C,embedded_or_touching_in_walls,1,1.00
C,embedded_or_touching_in_walls,2,0.80
C,embedded_or_touching_in_walls,3,0.70
C,embedded_or_touching_in_walls,4,0.65
C,embedded_or_touching_in_walls,5,0.60
C,embedded_or_touching_in_walls,6,0.57
C,embedded_or_touching_in_walls,7,0.54
C,embedded_or_touching_in_walls,8,0.52
C,embedded_or_touching_in_walls,9,0.50
C,embedded_or_touching_in_walls,12,0.45
C,embedded_or_touching_in_walls,16,0.41
C,embedded_or_touching_in_walls,20,0.38
C,single_layer_wall_floor_or_non_perforated_tray,1,1.00
C,single_layer_wall_floor_or_non_perforated_tray,2,0.85
C,single_layer_wall_floor_or_non_perforated_tray,3,0.79
C,single_layer_wall_floor_or_non_perforated_tray,4,0.75
C,single_layer_wall_floor_or_non_perforated_tray,5,0.73
C,single_layer_wall_floor_or_non_perforated_tray,6,0.72
C,single_layer_wall_floor_or_non_perforated_tray,7,0.72
C,single_layer_wall_floor_or_non_perforated_tray,8,0.71
C,single_layer_wall_floor_or_non_perforated_tray,9,0.70
C,single_layer_wall_floor_or_non_perforated_tray,12,0.70
C,single_layer_ceiling,1,0.95
C,single_layer_ceiling,2,0.81
C,single_layer_ceiling,3,0.72
C,single_layer_ceiling,4,0.68
C,single_layer_ceiling,5,0.66
C,single_layer_ceiling,6,0.64
C,single_layer_ceiling,7,0.63
C,single_layer_ceiling,8,0.62
C,single_layer_ceiling,9,0.61
C,single_layer_ceiling,12,0.61
E,single_layer_perforated_or_vertical_tray,1,1.00
E,single_layer_perforated_or_vertical_tray,2,0.88
E,single_layer_perforated_or_vertical_tray,3,0.82
E,single_layer_perforated_or_vertical_tray,4,0.77
E,single_layer_perforated_or_vertical_tray,5,0.75
E,single_layer_perforated_or_vertical_tray,6,0.73
E,single_layer_perforated_or_vertical_tray,7,0.73
E,single_layer_perforated_or_vertical_tray,8,0.72
E,single_layer_perforated_or_vertical_tray,9,0.72
E,single_layer_perforated_or_vertical_tray,12,0.72
F,single_layer_perforated_or_vertical_tray,1,1.00
F,single_layer_perforated_or_vertical_tray,2,0.88
F,single_layer_perforated_or_vertical_tray,3,0.82
F,single_layer_perforated_or_vertical_tray,4,0.77
F,single_layer_perforated_or_vertical_tray,5,0.75
F,single_layer_perforated_or_vertical_tray,6,0.73
F,single_layer_perforated_or_vertical_tray,7,0.73
F,single_layer_perforated_or_vertical_tray,8,0.72
F,single_layer_perforated_or_vertical_tray,9,0.72
F,single_layer_perforated_or_vertical_tray,12,0.72
E,single_layer_ladders_brackets,1,1.00
E,single_layer_ladders_brackets,2,0.87
E,single_layer_ladders_brackets,3,0.82
E,single_layer_ladders_brackets,4,0.80
E,single_layer_ladders_brackets,5,0.80
E,single_layer_ladders_brackets,6,0.79
E,single_layer_ladders_brackets,7,0.79
E,single_layer_ladders_brackets,8,0.78
E,single_layer_ladders_brackets,9,0.78
E,single_layer_ladders_brackets,12,0.78
F,single_layer_ladders_brackets,1,1.00
F,single_layer_ladders_brackets,2,0.87
F,single_layer_ladders_brackets,3,0.82
F,single_layer_ladders_brackets,4,0.80
F,single_layer_ladders_brackets,5,0.80
F,single_layer_ladders_brackets,6,0.79
F,single_layer_ladders_brackets,7,0.79
F,single_layer_ladders_brackets,8,0.78
F,single_layer_ladders_brackets,9,0.78
F,single_layer_ladders_brackets,12,0.78
