ambient_temp_c,insulation_type,K3
10,elastomer_rubber,1.29
10,pvc,1.22
10,pr_butyl_epr,1.15
15,elastomer_rubber,1.22
15,pvc,1.17
15,pr_butyl_epr,1.12
20,elastomer_rubber,1.15
20,pvc,1.12
20,pr_butyl_epr,1.08
25,elastomer_rubber,1.07
25,pvc,1.07
25,pr_butyl_epr,1.04
30,elastomer_rubber,1.00
30,pvc,1.00
30,pr_butyl_epr,1.00
35,elastomer_rubber,0.93
35,pvc,0.93
35,pr_butyl_epr,0.96
40,elastomer_rubber,0.82
40,pvc,0.87
40,pr_butyl_epr,0.91
45,elastomer_rubber,0.71
45,pvc,0.79
45,pr_butyl_epr,0.87
50,elastomer_rubber,0.58
50,pvc,0.71
50,pr_butyl_epr,0.82
55,elastomer_rubber,
55,pvc,0.61
55,pr_butyl_epr,0.76
60,elastomer_rubber,
60,pvc,0.50
60,pr_butyl_epr,0.71
