conductor_type,installation_method,selection_letter
conductors_or_multiconductor_cables,conduit_profile_trunking_apparent_or_embedded,B
conductors_or_multiconductor_cables,construction_void_false_ceiling,B
conductors_or_multiconductor_cables,cable_trench_moulding_skirting_architrave,B
conductors_or_multiconductor_cables,exposed_against_wall_or_ceiling,C
conductors_or_multiconductor_cables,on_non_perforated_cable_tray_or_shelf,C
multiconductor_cables,on_ladders_brackets_perforated_tray,E
multiconductor_cables,fixed_exposed_spaced_from_wall,E
multiconductor_cables,suspended_cables,E
single_conductor_cables,on_ladders_brackets_perforated_tray,F
single_conductor_cables,fixed_exposed_spaced_from_wall,F
single_conductor_cables,suspended_cables,F
